treatment,trial,rep,individual,velocity,acceleration,zonetime,activepercent,distance,zonevisits,activesec,ID
control,baseline,1,1,19.532642,707.506272,26.310345,3.224036,158.281756,3,8.103448,1
control,baseline,1,2,17.056526,680.700061,56.931034,3.53958,151.744262,6,8.896552,2
control,baseline,1,3,35.08709,1406.38133,50.827586,2.442036,215.362139,2,6.137931,3
control,baseline,1,4,15.930188,598.498138,31.586207,5.885581,235.656915,8,14.793103,4
control,baseline,1,5,17.691546,704.161821,49.62069,4.513651,200.707535,8,11.344828,5
control,baseline,1,6,17.649587,693.503918,49.344828,4.225545,187.45079,13,10.62069,6
control,odor,1,1,7.570544,227.777068,49.206897,36.231494,702.75537,25,92.827586,7
control,odor,1,2,7.691885,239.749648,30.655172,33.97039,669.459272,13,87.034483,8
control,odor,1,3,6.888056,205.716889,56.931034,32.18035,567.908309,16,82.448276,9
control,odor,1,4,7.51782,237.294084,11.896552,29.932705,576.539022,8,76.689655,10
control,odor,1,5,6.708815,202.196414,88.310345,33.270525,571.868645,8,85.241379,11
control,odor,1,6,8.071126,246.199094,52.724138,36.40646,752.841247,17,93.275862,12
control,baseline,2,1,6.098802,163.542958,27.310345,37.330224,572.23589,14,93.827586,13
control,baseline,2,2,6.053866,149.855135,26.344828,40.005488,608.726639,13,100.551724,14
control,baseline,2,3,5.591479,127.156679,47.517241,44.231033,621.618225,16,111.172414,15
control,baseline,2,4,5.896886,144.865701,22.793103,31.801344,471.344214,10,79.931034,16
control,baseline,2,5,5.685246,141.823891,139.310345,24.173412,345.427682,13,60.758621,17
control,baseline,2,6,5.856776,130.390872,130.275862,24.969132,367.563184,11,62.758621,18
control,odor,2,1,8.457305,217.490302,32.310345,49.340511,1069.119954,22,126.413793,19
control,odor,2,2,8.724191,231.219223,37.241379,54.87214,1226.500987,20,140.586207,20
control,odor,2,3,8.215887,225.018569,73.931034,51.709287,1088.463432,25,132.482759,21
control,odor,2,4,7.052974,189.599846,125.172414,42.261104,763.666884,18,108.275862,22
control,odor,2,5,8.419428,241.383541,23.448276,50.390309,1086.977184,16,129.103448,23
control,baseline,3,1,8.504446,261.860317,17.310345,41.180585,863.347926,21,101.517241,24
control,baseline,3,2,9.666848,313.232723,24.965517,35.893132,855.349417,24,88.482759,25
control,baseline,3,3,8.687976,272.625528,64.827586,34.913974,747.76512,22,86.068966,26
control,baseline,3,4,10.399777,331.143722,46.62069,36.704434,941.000484,22,90.482759,27
control,baseline,3,5,9.40895,299.800023,38.37931,36.382711,843.885506,29,89.689655,28
control,baseline,3,6,8.355018,252.635306,37.724138,36.480626,751.375374,27,89.931034,29
control,odor,3,1,11.757528,415.975794,60.482759,21.241922,613.013188,21,52.137931,30
control,odor,3,2,10.753448,367.758099,37.724138,24.290531,641.12798,20,59.62069,31
control,odor,3,3,10.985625,369.847778,92.793103,21.354313,575.798271,23,52.413793,32
control,odor,3,4,11.284582,389.173335,111.103448,17.08345,473.174207,19,41.931034,33
control,odor,3,5,9.970004,334.267041,54.965517,25.18966,616.421305,21,61.827586,34
control,odor,3,6,9.988747,331.04669,64.62069,22.983984,563.503082,20,56.413793,35
control,baseline,4,1,9.973629,317.62481,32.931034,51.559659,1267.682624,29,127.103448,36
control,baseline,4,2,9.773893,294.263683,47.724138,50.888236,1226.117964,27,125.448276,37
control,baseline,4,3,9.4062,294.771454,78.586207,58.65156,1360.00679,40,144.586207,38
control,baseline,4,4,9.087296,278.86217,41.068966,57.322703,1284.12893,30,141.310345,39
control,baseline,4,5,10.452604,333.498322,60.137931,60.595887,1561.402752,50,149.37931,40
control,odor,4,1,13.405724,432.985376,81.586207,56.799663,1868.942828,49,139.413793,41
control,odor,4,2,14.068014,445.974048,60.034483,60.073054,2074.304456,45,147.448276,42
control,odor,4,3,13.641392,405.69397,55,58.963192,1974.23874,45,144.724138,43
control,odor,4,4,13.562069,430.14457,71.344828,57.937623,1928.619792,48,142.206897,44
control,baseline,5,1,15.241902,473.904653,68.551724,49.167562,1924.684368,42,126.275862,45
control,baseline,5,2,15.311583,470.132526,88.862069,48.91246,1923.451628,47,125.62069,46
control,baseline,5,3,15.07167,478.354951,53.310345,48.751343,1887.077023,49,125.206897,47
control,odor,5,1,6.780089,173.530778,85.344828,52.405615,898.946228,35,132.586207,48
control,odor,5,2,7.185676,191.05545,49.137931,62.23252,1131.372321,52,157.448276,49
control,odor,5,3,7.586923,206.019308,58,58.511653,1123.126211,47,148.034483,50
control,odor,5,4,7.062541,182.933069,48.103448,55.922039,999.227787,21,141.482759,51
control,odor,5,5,7.949768,218.559448,104.931034,57.366771,1153.812895,36,145.137931,52
control,baseline,6,1,7.343231,179.445709,55.965517,63.023631,1188.590506,31,161.862069,53
control,baseline,6,2,6.466366,150.522684,111.275862,53.531149,889.013784,32,137.482759,54
control,baseline,6,3,7.168296,172.727385,66.517241,64.809345,1193.150535,25,166.448276,55
control,baseline,6,4,6.536077,152.079558,99.724138,49.489796,830.757874,24,127.103448,56
control,baseline,6,5,6.930146,163.16711,89.724138,57.559076,1024.466773,21,147.827586,57
control,odor,6,1,13.43119,507.887022,35.62069,3.162055,107.44952,2,8,58
control,odor,6,2,13.82731,544.764457,34.896552,3.570942,124.922596,3,9.034483,59
control,odor,6,3,13.755053,527.929955,0.137931,5.111081,177.867068,1,12.931034,60
control,odor,6,4,9.804308,340.988224,72.724138,4.047976,100.409635,3,10.241379,61
control,odor,6,5,11.527012,421.029258,99.827586,2.903094,84.663916,4,7.344828,62
control,odor,6,6,13.810034,562.522859,18.448276,4.157012,145.243465,4,10.517241,63
iso,baseline,1,1,19.567955,771.103907,79.206897,15.759468,783.392966,23,40.034483,64
iso,baseline,1,2,21.976724,886.277192,75.137931,14.795711,826.021689,18,37.586207,65
iso,baseline,1,3,25.470455,1037.194653,73.413793,15.487987,1002.130652,30,39.344828,66
iso,baseline,1,4,21.834416,848.132101,53.482759,14.02199,777.756948,18,35.62069,67
iso,baseline,1,5,22.891346,924.26531,74.206897,15.963079,928.283529,27,40.551724,68
iso,baseline,1,6,25.103678,1006.227996,75.724138,14.130582,901.135475,29,35.896552,69
iso,odor,1,1,10.991105,368.49704,75.689655,32.476191,904.681659,23,82.310345,70
iso,odor,1,2,11.125209,374.604212,56.62069,37.823129,1066.4856,30,95.862069,71
iso,odor,1,3,11.440816,391.916207,42.724138,33.823129,980.754049,19,85.724138,72
iso,odor,1,4,11.454423,400.222289,67.758621,31.183674,905.294433,31,79.034483,73
iso,odor,1,5,11.673655,396.869303,82.931034,34.47619,1020.035952,29,87.37931,74
iso,odor,1,6,11.007346,373.183396,50.482759,37.972789,1059.362134,27,96.241379,75
iso,baseline,2,1,33.624454,1425.333737,28.931034,6.33908,541.46965,11,16.103448,76
iso,baseline,2,2,26.3661,1153.975507,27.827586,6.461246,432.767709,14,16.413793,77
iso,baseline,2,3,30.171736,1254.479334,24.344828,6.257636,479.626564,8,15.896552,78
iso,baseline,2,4,30.215524,1288.547823,24.724138,5.796118,444.897549,8,14.724138,79
iso,baseline,2,5,24.793394,1068.942269,43.862069,7.207819,453.975591,12,18.310345,80
iso,baseline,2,6,33.181254,1390.986046,23.344828,6.854893,577.811485,13,17.413793,81
iso,odor,2,1,15.828542,578.72668,67.896552,18.027211,723.200614,28,45.689655,82
iso,odor,2,2,12.737195,467.331555,40.724138,20.394558,658.381226,25,51.689655,83
iso,odor,2,3,14.091376,498.062094,32.37931,15.972789,570.457777,25,40.482759,84
iso,odor,2,4,13.678749,490.000173,45.241379,15.537415,538.65971,22,39.37931,85
iso,odor,2,5,14.406036,504.937234,35.448276,15.605442,569.783577,18,39.551724,86
iso,odor,2,6,14.784603,544.296237,68.793103,12.979592,486.362445,16,32.896552,87
iso,baseline,3,1,9.793961,353.045432,45.448276,17.387218,437.351001,15,44.655172,88
iso,baseline,3,2,11.714961,430.366211,17.931034,14.164876,426.182192,10,36.37931,89
iso,baseline,3,3,11.097711,402.267334,32.103448,18.703008,533.072827,11,48.034483,90
iso,baseline,3,4,10.250057,355.894568,102.034483,19.025242,500.838985,14,48.862069,91
iso,baseline,3,5,10.506036,357.530607,69.758621,18.421053,497.044177,10,47.310345,92
iso,baseline,3,6,12.41285,468.780253,47.310345,19.186359,611.653907,15,49.275862,93
iso,odor,3,1,6.809109,179.327145,77.827586,51.381147,973.937363,31,143.034483,94
iso,odor,3,2,6.766773,177.378005,37.482759,46.760808,880.847161,25,130.172414,95
iso,odor,3,3,7.364153,185.779679,51.586207,55.270655,1133.06383,38,153.862069,96
iso,odor,3,4,7.543404,196.048317,103.137931,43.416326,911.711455,26,120.862069,97
iso,odor,3,5,6.578871,170.064851,77.965517,44.25864,810.562322,36,123.206897,98
iso,baseline,4,1,13.375868,522.408364,40.413793,21.562836,740.746338,10,55.37931,99
iso,baseline,4,2,12.98413,473.149062,45.965517,21.50913,717.261251,11,55.241379,100
iso,baseline,4,3,13.408868,509.834126,39.62069,22.999463,792.047934,17,59.068966,101
iso,baseline,4,4,11.73749,415.81985,52.655172,20.220193,609.53998,14,51.931034,102
iso,baseline,4,5,13.485864,508.126186,81.689655,20.716971,717.540984,16,53.206897,103
iso,baseline,4,6,13.503154,523.661746,52.413793,20.958647,726.842176,12,53.827586,104
iso,odor,4,1,9.441595,247.681945,79.206897,48.544531,1275.917559,31,135.137931,105
iso,odor,4,2,9.325434,246.423928,90.724138,51.467856,1336.109606,36,143.275862,106
iso,odor,4,3,9.335513,270.301596,86.827586,43.143813,1121.227331,24,120.103448,107
iso,odor,4,4,8.846196,239.403082,64.310345,49.597424,1221.385138,33,138.068966,108
iso,baseline,5,1,11.146127,390.927754,49.62069,25.003403,706.04948,23,63.344828,109
iso,baseline,5,2,12.153079,440.120563,64.586207,23.261195,716.193543,20,58.931034,110
iso,baseline,5,3,11.78373,430.907186,63.862069,20.470941,611.128626,19,51.862069,111
iso,baseline,5,4,11.997467,438.150186,56.551724,25.493399,774.870868,20,64.586207,112
iso,baseline,5,5,12.776453,475.423402,57.103448,22.961753,743.237092,18,58.172414,113
iso,baseline,5,6,10.792604,388.389573,49.448276,23.274806,636.391464,18,58.965517,114
iso,odor,5,1,9.104363,299.870592,0,43.046352,20.40633,0,2.241379,115
iso,odor,5,2,11.496248,439.492682,0,54.304632,32.506631,0,2.827586,116
iso,odor,5,3,7.573453,236.024276,0.103448,47.682126,18.803055,1,2.482759,117
iso,odor,5,4,16.434509,614.376305,0.37931,38.410596,32.869017,1,2,118
iso,odor,5,5,18.321383,682.692562,0,58.940407,56.227692,0,3.068966,119
iso,odor,5,6,9.983064,323.863642,0,46.357614,24.097052,0,2.413793,120
iso,baseline,6,1,13.744647,506.553474,54.689655,33.170001,1155.024275,31,84.034483,121
iso,baseline,6,2,14.11828,513.896693,79.793103,38.900231,1391.38088,43,98.551724,122
iso,baseline,6,3,14.356367,525.568266,74,32.258065,1173.261695,36,81.724138,123
iso,baseline,6,4,13.949974,500.036418,64.793103,38.015517,1343.526784,46,96.310345,124
